Symptom,Questions
Agitation,"Do you often feel restless or unable to stay still?, Do you experience sudden bursts of energy or excessive movement?, Do you feel an internal sense of unease or discomfort?, Do you have difficulty sitting still for long periods?, Do you often fidget, tap, or pace when anxious or stressed?, Do you feel easily irritated or frustrated without clear cause?, Do you experience physical symptoms like trembling or twitching?, Do you have difficulty controlling your impulses when restless?, Do others comment on your excessive movement or restlessness?, Do you struggle to relax even in comfortable situations?"
Anxiety,"Do you frequently experience excessive worry or fear?, Do you have difficulty controlling your worrying thoughts?, Do you feel tense or on edge most of the time?, Do you experience racing thoughts that make it hard to focus?, Do you avoid certain situations due to fear of negative outcomes?, Do you experience physical symptoms like sweating, dizziness, or a racing heart?, Do you feel overwhelmed by everyday situations?, Do you have trouble sleeping due to constant worrying?, Do you frequently anticipate the worst-case scenario?, Do you find it hard to calm down after being anxious?"
Avoidance,"Do you avoid situations or activities that make you feel anxious?, Do you steer clear of places or people that remind you of past trauma?, Do you find it difficult to face responsibilities due to fear of failure?, Do you avoid social interactions because they make you uncomfortable?, Do you avoid discussing certain topics that trigger negative emotions?, Do you avoid making decisions because you fear the consequences?, Do you avoid situations where you might be judged or criticized?, Do you avoid trying new things due to fear of the unknown?, Do you avoid situations that remind you of past failures?, Do you avoid expressing your true feelings to others?"
Behavioral,"Do you notice changes in your behavior when you're stressed?, Do you act differently in social situations compared to when you're alone?, Do you engage in repetitive behaviors to cope with anxiety?, Do you find it hard to control impulsive actions?, Do you act aggressively when you feel threatened?, Do you withdraw from activities you once enjoyed?, Do you engage in risky behaviors without considering the consequences?, Do you find yourself mimicking others' behaviors in social settings?, Do you act differently around certain people or in specific environments?, Do you struggle to maintain consistent behavior patterns?"
Cognitive,"Do you have trouble concentrating or focusing on tasks?, Do you experience memory lapses or forgetfulness?, Do you find it difficult to make decisions?, Do you struggle to process information quickly?, Do you feel mentally foggy or unclear in your thinking?, Do you have trouble solving problems or thinking logically?, Do you experience racing thoughts that are hard to control?, Do you find it difficult to plan or organize your tasks?, Do you feel like your mind is constantly overloaded?, Do you struggle to understand complex ideas or concepts?"
Compulsions,"Do you feel the need to repeat certain actions over and over?, Do you perform rituals to reduce anxiety or prevent something bad from happening?, Do you feel distressed if you can't complete a specific routine?, Do you check things repeatedly (e.g., locks, switches) even when you know they're secure?, Do you feel compelled to arrange things in a specific order?, Do you engage in repetitive behaviors that others find unusual?, Do you feel like you have no control over your repetitive actions?, Do you spend a lot of time performing rituals or routines?, Do you feel anxious if you try to resist performing a compulsion?, Do your compulsions interfere with your daily life or relationships?"
Congruent,"Do your emotions match the situation you're in?, Do you feel like your reactions are appropriate to the circumstances?, Do others comment that your behavior seems out of place?, Do you feel like your thoughts and feelings are aligned?, Do you experience mood swings that don't match your environment?, Do you feel like your emotions are consistent with your thoughts?, Do you struggle to express emotions that fit the situation?, Do you feel like your reactions are disproportionate to events?, Do you find it hard to understand why you feel a certain way?, Do you feel like your emotions are unpredictable or inconsistent?"
Deficit,"Do you struggle to pay attention for long periods?, Do you find it hard to stay organized or complete tasks?, Do you have difficulty remembering important details?, Do you feel like you lack energy or motivation?, Do you struggle to follow through on plans or commitments?, Do you find it hard to focus on conversations or tasks?, Do you feel like you're not performing as well as you should?, Do you struggle to learn new information or skills?, Do you feel like you're constantly falling behind?, Do you feel like you lack the skills to handle daily challenges?"
Delusion,"Do you believe things that others say are not true?, Do you feel like people are plotting against you without evidence?, Do you believe you have special powers or abilities?, Do you think you are being watched or followed?, Do you feel like you are receiving hidden messages from the environment?, Do you believe you are someone famous or important?, Do you feel like your thoughts are being controlled by external forces?, Do you believe you are in danger even when others say you're safe?, Do you feel like you are being persecuted unfairly?, Do you have beliefs that others find irrational or bizarre?"
Depression,"Do you often feel sad or empty for most of the day?, Do you experience a loss of interest in activities you once enjoyed?, Do you have trouble sleeping or sleep too much?, Do you feel fatigued or have low energy nearly every day?, Do you experience feelings of worthlessness or excessive guilt?, Do you have difficulty concentrating or making decisions?, Have you noticed significant changes in your appetite or weight?, Do you feel hopeless about the future?, Do you have recurring thoughts of death or suicide?, Do you struggle to complete daily tasks due to lack of motivation?"
Disorganized,"Do you have trouble organizing your thoughts or speech?, Do you find it hard to complete tasks in a logical sequence?, Do you struggle to keep your living or work space tidy?, Do you feel like your thoughts are scattered or hard to follow?, Do you have difficulty planning or setting goals?, Do you feel like your actions are unpredictable or erratic?, Do you struggle to maintain a routine or schedule?, Do you find it hard to prioritize tasks or responsibilities?, Do you feel like your life is chaotic or out of control?, Do others comment that your behavior seems disorganized?"
